,Unnamed: 0,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
2515,2515,SPX,20140401,1873.96,1885.52,1885.84,1873.96,1872.34,13.18,0.7,0.63,517336.94
2514,2514,SPX,20140402,1886.61,1890.9,1893.17,1883.79,1885.52,5.38,0.29,0.5,465008.07
2513,2513,SPX,20140403,1891.43,1888.77,1893.8,1882.65,1890.9,-2.13,-0.11,0.59,486950.94
2512,2512,SPX,20140404,1890.25,1865.09,1897.28,1863.26,1888.77,-23.68,-1.25,1.8,638969.0
2511,2511,SPX,20140407,1863.92,1845.04,1864.04,1841.48,1865.09,-20.06,-1.08,1.21,658209.94
2510,2510,SPX,20140408,1845.48,1851.96,1854.95,1837.49,1845.04,6.92,0.38,0.95,552300.07
2509,2509,SPX,20140409,1852.64,1872.18,1872.43,1852.38,1851.96,20.22,1.09,1.08,528285.88
2508,2508,SPX,20140410,1872.28,1833.08,1872.53,1830.87,1872.18,-39.1,-2.09,2.23,636877.94
2507,2507,SPX,20140411,1830.65,1815.69,1835.07,1814.36,1833.08,-17.39,-0.95,1.13,662181.88
2506,2506,SPX,20140414,1818.18,1830.61,1834.19,1815.8,1815.69,14.92,0.82,1.01,524945.07
2505,2505,SPX,20140415,1831.45,1842.98,1844.02,1816.29,1830.61,12.37,0.68,1.51,591856.94
2504,2504,SPX,20140416,1846.01,1862.31,1862.31,1846.01,1842.98,19.33,1.05,0.88,536607.94
2503,2503,SPX,20140417,1861.73,1864.85,1869.63,1856.72,1862.31,2.54,0.14,0.69,665680.94
2502,2502,SPX,20140421,1865.79,1871.89,1871.89,1863.18,1864.85,7.04,0.38,0.47,445573.0
2501,2501,SPX,20140422,1872.57,1879.55,1884.89,1872.57,1871.89,7.66,0.41,0.66,492960.94
2500,2500,SPX,20140423,1879.32,1875.39,1879.75,1873.91,1879.55,-4.16,-0.22,0.31,477804.94
2499,2499,SPX,20140424,1881.97,1878.61,1884.06,1870.24,1875.39,3.22,0.17,0.74,523936.07
2498,2498,SPX,20140425,1877.72,1863.4,1877.72,1859.7,1878.61,-15.21,-0.81,0.96,526707.07
2497,2497,SPX,20140428,1865.0,1869.43,1877.01,1850.61,1863.4,6.02,0.32,1.42,644490.0
2496,2496,SPX,20140429,1870.78,1878.33,1880.6,1870.78,1869.43,8.9,0.48,0.53,489826.88
2495,2495,SPX,20140430,1877.1,1883.95,1885.2,1872.69,1878.33,5.62,0.3,0.67,629090.07
2494,2494,SPX,20140501,1884.39,1883.68,1888.59,1878.04,1883.95,-0.27,-0.01,0.56,468010.0
2493,2493,SPX,20140502,1885.3,1881.14,1891.33,1878.5,1883.68,-2.55,-0.14,0.68,463669.94
2492,2492,SPX,20140505,1879.45,1884.66,1885.51,1866.77,1881.14,3.52,0.19,1.0,417770.0
2491,2491,SPX,20140506,1883.69,1867.72,1883.69,1867.72,1884.66,-16.94,-0.9,0.85,474483.88
2490,2490,SPX,20140507,1868.53,1878.21,1878.83,1859.79,1867.72,10.49,0.56,1.02,563540.07
2489,2489,SPX,20140508,1877.39,1875.63,1889.07,1870.05,1878.21,-2.58,-0.14,1.01,488607.94
2488,2488,SPX,20140509,1875.27,1878.48,1878.57,1867.02,1875.63,2.85,0.15,0.62,473573.0
2487,2487,SPX,20140512,1880.03,1896.65,1897.13,1880.03,1878.48,18.18,0.97,0.91,448903.07
2486,2486,SPX,20140513,1896.75,1897.45,1902.17,1896.06,1896.65,0.79,0.04,0.32,418340.07
2485,2485,SPX,20140514,1897.13,1888.53,1897.13,1885.77,1897.45,-8.92,-0.47,0.6,422048.13
2484,2484,SPX,20140515,1888.16,1870.85,1888.16,1862.36,1888.53,-17.68,-0.94,1.37,547160.88
2483,2483,SPX,20140516,1871.19,1877.86,1878.28,1864.82,1870.85,7.01,0.37,0.72,624155.0
2482,2482,SPX,20140519,1876.66,1885.08,1886.0,1872.42,1877.86,7.23,0.38,0.72,433388.94
