,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
0,DJI,20240401,39807.93,39566.85,39815.0,39491.22,39807.37,-240.52,-0.6,0.81,279113.88
1,DJI,20240329,39763.74,39807.37,39868.59,39717.25,39807.37,0.0,0.0,0.38,367240.19
2,DJI,20240328,39763.74,39807.37,39868.59,39717.25,39760.08,47.29,0.12,0.38,367240.19
3,DJI,20240327,39461.98,39760.08,39769.41,39461.98,39282.33,477.75,1.22,0.78,337343.69
4,DJI,20240326,39338.32,39282.33,39439.44,39277.19,39313.64,-31.31,-0.08,0.41,312198.5
5,DJI,20240325,39410.54,39313.64,39430.17,39296.03,39475.9,-162.26,-0.41,0.34,326972.32
6,DJI,20240322,39774.06,39475.9,39824.76,39469.53,39781.37,-305.47,-0.77,0.89,337228.19
7,DJI,20240321,39661.03,39781.37,39889.05,39589.23,39512.13,269.24,0.68,0.76,408992.63
8,DJI,20240320,39072.05,39512.13,39529.13,38988.65,39110.76,401.37,1.03,1.38,350050.38
9,DJI,20240319,38819.61,39110.76,39122.71,38761.28,38790.43,320.33,0.83,0.93,314346.0
10,DJI,20240318,38826.93,38790.43,38898.41,38760.79,38714.77,75.66,0.2,0.36,331620.13
11,DJI,20240315,38809.65,38714.77,38928.13,38618.2,38905.66,-190.89,-0.49,0.8,783320.38
12,DJI,20240314,39122.39,38905.66,39160.25,38704.36,39043.32,-137.66,-0.35,1.17,378504.38
13,DJI,20240313,39054.58,39043.32,39201.94,38937.92,39005.49,37.83,0.1,0.68,333195.13
14,DJI,20240312,38883.32,39005.49,39071.56,38711.39,38769.66,235.83,0.61,0.93,334748.13
15,DJI,20240311,38667.21,38769.66,38794.76,38483.25,38722.69,46.97,0.12,0.8,303964.38
16,DJI,20240308,38776.8,38722.69,38971.15,38705.03,38791.35,-68.66,-0.18,0.69,351118.88
17,DJI,20240307,38784.3,38791.35,38910.35,38730.13,38661.05,130.3,0.34,0.47,343254.88
18,DJI,20240306,38721.15,38661.05,38858.13,38570.8,38585.19,75.86,0.2,0.74,355516.19
19,DJI,20240305,38906.98,38585.19,38906.98,38457.83,38989.83,-404.64,-1.04,1.15,404144.82
20,DJI,20240304,38968.77,38989.83,39087.86,38913.3,39087.38,-97.55,-0.25,0.45,394509.19
21,DJI,20240301,38989.51,39087.38,39120.36,38850.5,38996.39,90.99,0.23,0.69,331030.32
22,DJI,20240229,39013.75,38996.39,39074.13,38809.28,38949.02,47.37,0.12,0.68,521771.32
23,DJI,20240228,38938.08,38949.02,38956.46,38741.68,38972.41,-23.39,-0.06,0.55,272563.13
24,DJI,20240227,39087.9,38972.41,39087.9,38881.9,39069.23,-96.82,-0.25,0.53,274823.32
25,DJI,20240226,39144.79,39069.23,39245.89,39025.8,39131.53,-62.3,-0.16,0.56,296932.13
26,DJI,20240223,39127.97,39131.53,39282.28,39094.36,39069.11,62.42,0.16,0.48,292055.0
27,DJI,20240222,38845.19,39069.11,39149.61,38802.07,38612.24,456.87,1.18,0.9,330537.19
28,DJI,20240221,38483.66,38612.24,38618.03,38338.58,38563.8,48.44,0.13,0.72,284368.69
29,DJI,20240220,38576.26,38563.8,38663.09,38460.2,38627.99,-64.19,-0.17,0.53,340370.82
30,DJI,20240219,38751.71,38627.99,38825.03,38583.24,38627.99,0.0,0.0,0.63,282216.63
31,DJI,20240216,38751.71,38627.99,38825.03,38583.24,38773.12,-145.13,-0.37,0.62,282216.63
32,DJI,20240215,38397.94,38773.12,38781.89,38397.94,38424.27,348.85,0.91,1.0,310706.32
33,DJI,20240214,38372.67,38424.27,38442.56,38194.62,38272.75,151.52,0.4,0.65,274690.13
34,DJI,20240213,38699.17,38272.75,38699.17,38039.86,38797.38,-524.63,-1.35,1.7,322657.88
35,DJI,20240212,38656.76,38797.38,38927.08,38628.92,38671.69,125.69,0.33,0.77,276829.19
36,DJI,20240209,38731.97,38671.69,38734.28,38567.9,38726.33,-54.64,-0.14,0.43,302401.13
37,DJI,20240208,38702.11,38726.33,38755.68,38544.36,38677.36,48.97,0.13,0.55,317395.38
38,DJI,20240207,38613.89,38677.36,38748.11,38571.01,38521.36,156.0,0.4,0.46,305191.69
39,DJI,20240206,38392.9,38521.36,38545.28,38350.46,38380.12,141.24,0.37,0.51,278496.88
40,DJI,20240205,38546.77,38380.12,38633.88,38220.4,38654.42,-274.3,-0.71,1.07,324323.5
41,DJI,20240202,38448.1,38654.42,38783.62,38336.57,38519.84,134.58,0.35,1.16,384219.19
42,DJI,20240201,38175.34,38519.84,38522.5,38106.84,38150.3,369.54,0.97,1.09,330893.32
43,DJI,20240131,38426.78,38150.3,38588.86,38139.66,38467.31,-317.01,-0.82,1.17,456222.32
44,DJI,20240130,38298.23,38467.31,38497.39,38257.8,38333.45,133.86,0.35,0.63,332925.69
45,DJI,20240129,38115.83,38333.45,38343.93,38061.17,38109.43,224.02,0.59,0.74,314948.82
46,DJI,20240126,38006.68,38109.43,38215.31,37997.77,38049.13,60.3,0.16,0.57,388690.88
47,DJI,20240125,37862.57,38049.13,38057.53,37796.47,37806.39,242.74,0.64,0.69,402976.69
48,DJI,20240124,37975.37,37806.39,38064.22,37795.71,37905.45,-99.06,-0.26,0.71,339417.19
49,DJI,20240123,37959.79,37905.45,37980.73,37804.99,38001.81,-96.36,-0.25,0.46,337320.32
50,DJI,20240122,37919.55,38001.81,38109.2,37911.61,37863.8,138.01,0.36,0.52,342501.88
51,DJI,20240119,37572.5,37863.8,37933.73,37451.71,37468.61,395.19,1.05,1.29,380298.38
52,DJI,20240118,37300.81,37468.61,37522.29,37122.95,37266.67,201.94,0.54,1.07,340629.19
53,DJI,20240117,37281.86,37266.67,37371.66,37132.89,37361.12,-94.45,-0.25,0.64,290885.38
54,DJI,20240116,37493.54,37361.12,37543.18,37201.39,37592.98,-231.86,-0.62,0.91,379974.69
55,DJI,20240112,37818.05,37592.98,37825.27,37470.19,37711.02,-118.04,-0.31,0.94,279254.82
56,DJI,20240111,37747.14,37711.02,37801.9,37424.28,37695.73,15.29,0.04,1.0,305802.32
57,DJI,20240110,37552.91,37695.73,37740.77,37524.4,37525.16,170.57,0.45,0.58,279543.88
58,DJI,20240109,37523.55,37525.16,37552.38,37373.3,37683.01,-157.85,-0.42,0.48,293230.32
59,DJI,20240108,37327.37,37683.01,37692.92,37249.24,37466.11,216.9,0.58,1.18,362204.32
60,DJI,20240105,37455.46,37466.11,37623.62,37323.82,37440.34,25.77,0.07,0.8,299488.63
61,DJI,20240104,37425.28,37440.34,37716.41,37425.28,37430.19,10.15,0.03,0.78,380222.32
62,DJI,20240103,37629.23,37430.19,37629.23,37401.85,37715.04,-284.85,-0.76,0.6,329145.19
63,DJI,20240102,37566.22,37715.04,37790.08,37495.91,37689.54,25.5,0.07,0.78,350287.32
64,DJI,20231229,37701.63,37689.54,37759.43,37538.8,37710.1,-20.56,-0.05,0.59,236602.82
65,DJI,20231228,37661.52,37710.1,37778.85,37650.98,37656.52,53.58,0.14,0.34,201866.0
66,DJI,20231227,37518.62,37656.52,37683.7,37488.6,37545.33,111.19,0.3,0.52,248246.0
67,DJI,20231226,37405.9,37545.33,37617.99,37371.83,37385.97,159.36,0.43,0.66,215084.38
68,DJI,20231225,37349.27,37385.97,37534.52,37268.88,37385.97,0.0,0.0,0.71,254545.63
69,DJI,20231222,37349.27,37385.97,37534.52,37268.88,37404.35,-18.38,-0.05,0.71,254545.63
70,DJI,20231221,37225.32,37404.35,37418.76,37127.05,37082.0,322.35,0.87,0.79,258301.88
71,DJI,20231220,37520.13,37082.0,37641.3,37073.04,37557.92,-475.92,-1.27,1.51,303456.82
72,DJI,20231219,37311.82,37557.92,37562.83,37311.82,37306.02,251.9,0.68,0.67,277626.5
73,DJI,20231218,37330.14,37306.02,37393.45,37284.85,37305.16,0.86,0.0,0.29,296071.82
74,DJI,20231215,37194.5,37305.16,37347.6,37092.02,37248.35,56.81,0.15,0.69,788163.63
75,DJI,20231214,37115.63,37248.35,37287.5,37051.52,37090.24,158.11,0.43,0.64,458105.19
76,DJI,20231213,36601.8,37090.24,37094.85,36523.59,36577.94,512.3,1.4,1.56,359626.82
77,DJI,20231212,36442.1,36577.94,36596.11,36373.22,36404.93,173.01,0.48,0.61,292770.5
78,DJI,20231211,36254.33,36404.93,36416.18,36231.19,36247.87,157.06,0.43,0.51,342490.19
79,DJI,20231208,36084.82,36247.87,36296.2,36061.64,36117.38,130.49,0.36,0.65,295189.19
80,DJI,20231207,36124.17,36117.38,36164.17,36021.95,36054.43,62.95,0.17,0.39,290169.32
81,DJI,20231206,36183.73,36054.43,36292.58,36024.25,36124.56,-70.13,-0.19,0.74,283244.19
82,DJI,20231205,36135.65,36124.56,36164.68,36010.85,36204.44,-79.88,-0.22,0.42,311217.88
83,DJI,20231204,36089.38,36204.44,36238.18,36029.69,36245.5,-41.06,-0.11,0.58,330585.13
84,DJI,20231201,35914.45,36245.5,36264.85,35914.45,35950.89,294.61,0.82,0.97,321843.13
85,DJI,20231130,35596.57,35950.89,35970.7,35592.22,35430.42,520.47,1.47,1.07,435546.32
86,DJI,20231129,35436.8,35430.42,35579.13,35405.89,35416.98,13.44,0.04,0.49,299337.19
87,DJI,20231128,35332.13,35416.98,35518.67,35307.73,35333.47,83.51,0.24,0.6,263095.19
88,DJI,20231127,35376.44,35333.47,35410.37,35280.57,35390.15,-56.68,-0.16,0.37,258348.19
89,DJI,20231124,35299.9,35390.15,35399.44,35299.9,35273.03,117.12,0.33,0.28,117041.38
90,DJI,20231122,35189.33,35273.03,35315.2,35155.8,35088.29,184.74,0.53,0.45,237297.88
91,DJI,20231121,35104.84,35088.29,35118.04,35038.44,35151.04,-62.75,-0.18,0.23,271121.32
92,DJI,20231120,34932.49,35151.04,35227.48,34907.98,34947.28,203.76,0.58,0.91,339636.0
93,DJI,20231117,34964.82,34947.28,35028.22,34882.82,34945.47,1.81,0.01,0.42,343386.69
94,DJI,20231116,34868.03,34945.47,35022.46,34818.03,34991.21,-45.74,-0.13,0.58,436835.88
95,DJI,20231115,34906.72,34991.21,35051.1,34868.48,34827.7,163.51,0.47,0.52,347799.5
96,DJI,20231114,34581.2,34827.7,34931.01,34581.2,34337.87,489.83,1.43,1.02,331236.19
97,DJI,20231113,34259.25,34337.87,34405.84,34205.81,34283.1,54.77,0.16,0.58,245149.82
98,DJI,20231110,34020.82,34283.1,34310.36,33905.62,33891.94,391.16,1.15,1.19,302469.5
99,DJI,20231109,34163.71,33891.94,34167.54,33859.77,34112.27,-220.33,-0.65,0.9,332640.0
100,DJI,20231108,34185.92,34112.27,34252.75,33996.2,34152.6,-40.33,-0.12,0.75,280332.69
101,DJI,20231107,34075.65,34152.6,34206.98,34026.72,34095.86,56.74,0.17,0.53,285175.63
102,DJI,20231106,34092.61,34095.86,34167.26,33989.72,34061.32,34.54,0.1,0.52,267348.38
103,DJI,20231103,33988.83,34061.32,34163.63,33946.6,33839.08,222.24,0.66,0.64,311003.32
104,DJI,20231102,33457.82,33839.08,33852.96,33450.03,33274.58,564.5,1.7,1.21,311128.0
105,DJI,20231101,33081.87,33274.58,33337.15,33010.85,33052.87,221.71,0.67,0.99,307572.63
106,DJI,20231031,33029.11,33052.87,33070.28,32787.12,32928.96,123.91,0.38,0.86,310014.5
107,DJI,20231030,32537.54,32928.96,33002.97,32537.54,32417.59,511.37,1.58,1.44,300242.69
108,DJI,20231027,32782.4,32417.59,32787.56,32327.2,32784.3,-366.71,-1.12,1.4,376976.88
109,DJI,20231026,33017.17,32784.3,33105.03,32743.99,33035.93,-251.63,-0.76,1.09,379884.69
110,DJI,20231025,33203.53,33035.93,33267.91,32989.72,33141.38,-105.45,-0.32,0.84,355692.0
111,DJI,20231024,33089.64,33141.38,33272.19,32988.43,32936.41,204.97,0.62,0.86,359232.82
112,DJI,20231023,32993.02,32936.41,33234.85,32892.19,33127.28,-190.87,-0.58,1.03,345435.0
113,DJI,20231020,33365.27,33127.28,33425.77,33118.12,33414.17,-286.89,-0.86,0.92,330150.63
114,DJI,20231019,33669.52,33414.17,33852.39,33368.58,33665.08,-250.91,-0.75,1.44,307065.13
115,DJI,20231018,33960.25,33665.08,33991.51,33598.64,33997.65,-332.57,-0.98,1.16,286698.19
116,DJI,20231017,33869.84,33997.65,34147.63,33854.7,33984.54,13.11,0.04,0.86,281010.38
117,DJI,20231016,33832.42,33984.54,34088.98,33832.42,33670.29,314.25,0.93,0.76,272988.0
118,DJI,20231013,33733.34,33670.29,33957.72,33551.58,33631.14,39.15,0.12,1.21,306344.19
119,DJI,20231012,33845.65,33631.14,33863.8,33455.6,33804.87,-173.73,-0.51,1.21,290364.38
120,DJI,20231011,33822.2,33804.87,33882.55,33612.25,33739.3,65.57,0.19,0.8,256562.63
121,DJI,20231010,33683.41,33739.3,33898.22,33604.32,33604.65,134.65,0.4,0.87,255646.88
122,DJI,20231009,33259.84,33604.65,33631.81,33253.69,33407.58,197.07,0.59,1.13,229795.19
