,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
0,IXIC,20240401,16397.05,16396.83,16490.65,16327.89,16379.46,17.37,0.11,0.99,930023.63
1,IXIC,20240328,16377.23,16379.46,16420.92,16347.38,16399.52,-20.06,-0.12,0.45,1223128.0
2,IXIC,20240327,16424.76,16399.52,16431.82,16279.17,16315.7,83.82,0.51,0.94,986795.82
3,IXIC,20240326,16446.85,16315.7,16476.38,16312.95,16384.47,-68.77,-0.42,1.0,1002635.5
4,IXIC,20240325,16335.3,16384.47,16441.17,16315.72,16428.82,-44.35,-0.27,0.76,896529.38
5,IXIC,20240322,16387.83,16428.82,16467.62,16361.0,16401.84,26.98,0.16,0.65,880011.38
6,IXIC,20240321,16517.24,16401.84,16538.86,16393.9,16369.41,32.43,0.2,0.89,1056473.0
7,IXIC,20240320,16185.76,16369.41,16377.44,16127.48,16166.79,202.62,1.25,1.55,1032131.8
8,IXIC,20240319,16031.93,16166.79,16175.59,15951.86,16103.45,63.34,0.39,1.39,1035903.0
9,IXIC,20240318,16154.92,16103.45,16247.59,16094.17,15973.17,130.28,0.82,0.96,1037166.4
10,IXIC,20240315,16043.58,15973.17,16055.33,15925.91,16128.53,-155.36,-0.96,0.8,3073915.0
11,IXIC,20240314,16209.19,16128.53,16245.32,16039.68,16177.77,-49.24,-0.3,1.27,1178240.0
12,IXIC,20240313,16220.11,16177.77,16233.3,16143.34,16265.64,-87.87,-0.54,0.55,1094028.0
13,IXIC,20240312,16116.98,16265.64,16275.45,15992.98,16019.27,246.37,1.54,1.76,1019920.5
14,IXIC,20240311,16052.63,16019.27,16085.95,15978.04,16085.11,-65.84,-0.41,0.67,970774.94
15,IXIC,20240308,16322.1,16085.11,16449.7,16059.5,16273.38,-188.27,-1.16,2.4,1092781.0
16,IXIC,20240307,16147.32,16273.38,16309.02,16096.01,16031.54,241.84,1.51,1.33,1027668.7
17,IXIC,20240306,16092.0,16031.54,16128.56,15956.66,15939.59,91.95,0.58,1.08,1111909.0
18,IXIC,20240305,16077.74,15939.59,16087.56,15862.63,16207.51,-267.92,-1.65,1.39,1158293.0
19,IXIC,20240304,16264.21,16207.51,16289.06,16199.06,16274.94,-67.43,-0.41,0.55,1165434.0
